web-scraper-order,web-scraper-start-url,Location,Location-href,Name,Where,Deadline,Price,Institution,Description,Link,Link-href,,,,,,,,,,
1687112233-18,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Stanford University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-stanford-university,Clinical Neuroscience Immersion Experience (CNI-X),"Stanford, CA",28-Feb-23,"$1,295-$2,590 USD",Stanford University,"Students attend a 10-day session which provides introductory exposure to fascinating topics in neuroscience, psychiatry and psychology plus an opportunity to complete a collaborative capstone project.

During each session, students are exposed to the breadth of research found in the Stanford Department of Psychiatry and Behavioral Sciences. Through interactive seminars students learn about principles of neuroscience, clinical neuropsychiatry, neuroscience research, psychiatric epidemiology, behavioral and social sciences, and more.

In addition to participating in interactive lectures, students in each session will spend guided time working in small teams to develop innovative, novel solutions to social issues related to psychiatry, psychology, or neuroscience - presented at a final session in front of an audience of classmates, families, faculty and staff.",See website,https://med.stanford.edu/psychiatry/special-initiatives/CNIX.html,,,,,,,,,,
1687112233-19,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Stanford University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-stanford-university,Stanford Summer Humanities Insitute,"Stanford, CA",31-Jan-23,"$8,250 USD",Stanford University,"Ancient Rome, The Greeks, Revolutions, The American Enlightenment among others. Explore the humanities at a college level, investigate philosophical questions, and pursue exciting research topics that are chosen by each participant.",See website,https://summerhumanities.spcs.stanford.edu/,,,,,,,,,,
1687112233-20,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Stanford University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-stanford-university,Introduction to Data Science,"Redwood City, CA",14-May-23,"$3,050 USD",Stanford University,"This course will introduce students to computer algorithms and the diversity of models they can generate, each with pros and cons. Students will use datasets from the natural and social sciences to answer real-world questions, pursuing questions and data relevant to their own lives. They will apply different facets of machine learning through R programming exercises deeply integrated into the course. By the end of the course, students will have developed a technical skill set that allows them to investigate any given dataset with strong coding abilities and a scientific approach.",See website,https://summerinstitutes.spcs.stanford.edu/courses/2023/introduction-data-science,,,,,,,,,,
1687112233-21,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students at Stanford University,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-at-stanford-university,Stanford University Mathematics Camp (SUMaC),"Stanford, CA",31-Jan-23,"$3,250 USD",Stanford University,"An online mathematics camp made for high school students who have a passion for problem solving. In this three-week course, students will have the opportunity to learn more about math than what is traditionally taught in a high school classroom, and to build a network of fellow math lovers.",See website,https://spcs.stanford.edu/programs/stanford-university-mathematics-camp-sumac,,,,,,,,,,
1687112236-22,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Washington DC,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-washington-dc,Genes in Space,"Washington, DC",16-Apr-23,Free,Boeing and miniPCR bio along with ISS U.S. National Laboratory and New England Biolabs,"This program offers an opportunity to design a DNA experiment that tackles a challenge in space exploration, making it ideal for those interested in biology and deep space. Clear submission guidelines and instructions on how to enter the contest are provided, which can be helpful for individuals who have difficulty generating ideas.",See website,https://www.genesinspace.org/,,,,,,,,,,
1687112236-23,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Washington DC,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-washington-dc,Entrepreneurship Academy,"Washginton, DC",14-May-23,"$5,500 USD",Georgetown University,"The Entrepreneurship Academy is a 2-week program that explores the challenges and advantages of running your own business. It includes discussions on selecting a start-up, testing prototypes, conducting market research, social innovation, global business, and operations. You will have the opportunity to interact with accomplished entrepreneurs from different fields and learn from their experiences to gain insights into what it takes to succeed in any profession. However, it's advisable to gather more information about the faculty involved in this program before making a decision to enroll.",See website,https://summer.georgetown.edu/programs/SHS10/entrepreneurship-academy,,,,,,,,,,
1687112236-24,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Washington DC,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-washington-dc,Georgetown Summer High School Science and Medical Program,"Washington, DC",14-May-23,"$2,500-3,225 USD",Georgetown University,"The Medical Academy, a one-week program, provides an introduction to the field of medicine and offers an opportunity to visit the Georgetown University Medical Center, which houses the highly regarded School of Medicine, School of Nursing & Health Studies, and the prestigious Lombardi Cancer Center. The program includes a comprehensive exploration of various medical topics, ranging from human anatomy and physiology, microbiology, and infectious diseases to surgery, cancer, and biomedical ethics. Participants engage in hands-on lab activities, work with patient simulators, and study contemporary medical challenges such as COVID-19, preventative medicine, heart disease, and HIV.",See website,https://summer.georgetown.edu/programs/SHS19/medical-academy,,,,,,,,,,
1687112236-25,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Washington DC,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-washington-dc,NSLC on Psychology & Neuroscience.,"Washington, DC",No deadline,"$3,895 USD",National Student Leadership Conference,"During the NSLC program focused on Psychology & Neuroscience, participants will have the opportunity to study the science of the mind by examining child development, personality types, and methods for motivating others. In addition, they will engage in clinical psychology simulations and practical neurology workshops that explore the connection between the brain and human behavior.",See website,https://www.nslcleaders.org/youth-leadership-programs/psychology-neuroscience/?gclid=CjwKCAiA8OmdBhAgEiwAShr40w9dc-3p8bS7tmBfZcKinmlck_xwvK-S6vn-SJY1dyBhuZhICNOYpRoCSV4QAvD_BwE,,,,,,,,,,
1687112236-26,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Washington DC,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-washington-dc,Creative Writing Academy,"Washington, DC",14-May-23,"$2,500-3,225 USD",Georgetown University,"This week-long program offers workshops and tutorials for high school students to enhance their skills in creative writing. Led by renowned literary figures in the D.C. area and Georgetown graduate student instructors, the program covers various forms of writing, from poetry to personal essays. Through insightful feedback from peers, participants will have the opportunity to generate and refine their written works. The Academy also focuses on the professionalization of creative writing, including publishing and funding opportunities, available jobs, and undergraduate and graduate programs. The program includes excursions to Washington, D.C. landmarks, an ekphrastic writing exercise at the National Gallery of Art, and the chance to share their work at Busboys and Poets, a well-known literary venue.",See website,https://summer.georgetown.edu/programs/SHS07/creative-writing-academy,,,,,,,,,,
1687112236-27,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Washington DC,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-washington-dc,Hoya Summer High School Sessions,"Washington, DC",14-May-23,"$2,500-6,950 USD",Georgetown,"Students have the opportunity to delve deeper into their areas of interest, whether it's International Relations, U.S. Campaigns & Elections, Washington & the World, or Foreign Policy, through a range of 1-week and 3-week Academies. The programs encourage students to broaden their perspectives and engage in deeper discussions as they explore their chosen field of study.",See website,https://summer.georgetown.edu/,,,,,,,,,,
1687112239-28,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Connecticut,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-connecticut,Yale Summer Session,"New Haven, CT",14-Apr-23,"$4,650 USD",Yale University,"Students can choose from an array of subject areas ranging from Multivariable Calculus for Engineers to Engineering Improv: An Introduction to Engineering Analysis and Chemical Engineering Thermodynamics, among others. These five-week courses are offered in June and then again in July and August. By taking part in these courses, students can experience the challenges of an Ivy League college education firsthand. While some courses are conducted in-person, others are available online.",See website,https://summer.yale.edu/courses-programs/courses-yale,,,,,,,,,,
1687112239-29,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Connecticut,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-connecticut,Yale Summer Drama (Conservatory for Actors),"New Haven, CT",14-Apr-23,"$9,475 USD",Yale University,"For students interested in theater and performing arts, the Yale School of Drama offers excellent summer programs to hone your skills in acting and directing. Applicants can choose between two workshops: the five-week-long Conservatory for Actors and the 10-Day Director's Workshop. In the Conservatory for Actors, students can develop their acting abilities through text analysis, delivery techniques, vocal production, scene study, and understanding how the various elements of a production come together. On the other hand, the Director's Workshop focuses on the technical aspects of theater, such as set design, voice, and stage management, while also providing opportunities to work with actors in rehearsal. Both workshops are led by experienced actors and directors.",See website,https://summer.yale.edu/courses-programs/summer-drama-program,,,,,,,,,,
1687112239-30,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Connecticut,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-connecticut,Computing and Data Sciences Summer Camp,"Hamden, CT",30-Apr-23,"$2,400 - $3,360 USD",Quinnipiac University,"This 2-week program is designed to introduce high school students to the field of data science. In addition to learning fundamental data science theory from experienced Quinnipiac faculty, participants will have the opportunity to develop practical skills by working on hands-on data science projects. The program will also provide insights into various career opportunities available in the field of data science.",See website,https://www.qu.edu/academics/about-our-programs/summer-experiences-courses/high-school-students/data-sciences/,,,,,,,,,,
1687112239-31,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Connecticut,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-connecticut,The Jackson Laboratory Summer Student Program,"Farmington, CT",29-Jan-23,Free,The Jackson Laboratory,"This 10-week program is specifically designed for students interested in delving deeper into genetics and genomic research. Students will be paired with a scientific mentor and tasked with developing a research project to present at the end of the summer. Participants will receive a stipend of $6,250 along with accommodations for room and board, as well as travel expenses.",See website,https://www.jax.org/education-and-learning/high-school-students-and-undergraduates/learn-earn-and-explore,,,,,,,,,,
1687112242-32,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Illinois,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-illinois,Psychology in Everyday Life,"Chicago, IL",No deadline,$795 USD,Illinois Institute of Technology,"In this program, students will be introduced to the field of brain science, including fundamental mental concepts, comprehensive theories, and basic research design. Over the course of a 7-day project, students will collect data, conduct analyses using Jamovi software, and present their findings to peers. Additionally, they will have the opportunity to meet and learn from current graduate students and staff at Illinois Tech.",See website,https://www.iit.edu/research,,,,,,,,,,
1687112242-33,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Illinois,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-illinois,"EXPLORATIONS IN NEUROSCIENCE: NEURONS, BEHAVIOR, AND BEYOND","Chicago, IL",19-May-23,"$8,350 USD",University of Chicago,"In this course, we will investigate how electrochemical and circuit activity in nervous systems contributes to sensation, perception, and various behaviors such as movement, language production, spatial navigation, emotional responses, sleep, and learning and memory. Our approach is inquiry-driven, involving close examination of primary data. Students will learn about experimental methods used in neuroscience research such as molecular DNA and protein sequence analysis, fluorescence microscopy of nervous tissue, and behavioral assays. By examining nervous systems across different phyla, we will also gain insights into the evolution history and inner workings of the human brain.",See website,https://summer.uchicago.edu/course/explorations-neuroscience-neurons-behavior-and-beyond,,,,,,,,,,
1687112242-34,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Illinois,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-illinois,Illinois Institute of Technology: Psychology in Everyday Life,"Chicago, IL",No deadline,"$595-$1,395 USD",Illinois Tech,"The Psychology summer program is an opportunity for high school students to gain insights into psychology as a science. This program offers a glimpse into collegiate-level psychology studies, as well as how it contributes to self-understanding and the role of therapists. The program is structured around five themes, including an introduction day, multicultural psychology day, psychology research and technology day, introduction to psychotherapy day, and careers and admissions day. The multicultural day offers a chance to learn about the rich cultural history of Bronzeville, the psychology of gentrification, and how BuildBronzeville combats gentrification. In addition, learners will conduct their own research project, practice counseling skills, and gain insights into psychology careers.",See website,https://www.iit.edu/academics/elevate-college-prep/summer/residential/psychology-summer-program,,,,,,,,,,
1687112242-35,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Illinois,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-illinois,Medill Cherubs,"Evanston, IL",12-Mar-23,"$5,000 USD",Medill-Northwestern Journalism Institute,"Medill's journalism camp offers a five-week summer program for rising high school seniors seeking hands-on experience in print and digital broadcasting, writing, reporting, and editing. The program provides opportunities for students to work on trending topics, conduct interviews, and pitch articles to be published in the Daily Northwestern. Aspiring journalists from all over the world attend the program, and students are paired with mentors who critique their writing assignments. Participating in this program could enhance a student's profile, especially for those interested in applying to top journalism programs.",See website,https://cherubs.medill.northwestern.edu/2019/,,,,,,,,,,
1687112242-36,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Illinois,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-illinois,DSI Summer Lab,"Chicago, IL",11-Feb-23,Free,The University of Chicago,"The University of Chicago offers a 10-week summer research program, which is a paid opportunity for high school and undergraduate students to collaborate with a data science mentor in areas such as computer science, social science, public policy, climate and energy policy, materials science, and biomedical research. During the program, research assistants work closely with their mentors to improve their research skills, methodologies, and teamwork. Those who meet the eligibility requirements are assigned to projects in the Social Impact Track.",See website,https://datascience.uchicago.edu/engage/summerlab/,,,,,,,,,,
1687112246-37,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Conrad Challenge,"Houston, TX",No deadline,Free,Conrad Challenge,"This competition provides a platform for students aged 13-18 to address global issues by utilizing science, technology, and innovation, all while cultivating entrepreneurial skills and forming new connections. With guidance from industry professionals and a structured framework, participants can strengthen their collaboration, creativity, critical thinking, and communication abilities. One of the best aspects of this challenge is that students can choose to work with a small team of their choosing, allowing them to collaborate with friends and enjoy the project together.",See website,https://www.conradchallenge.org/,,,,,,,,,,
1687112246-38,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Regeneron ISEF,"Dallas, TX",No deadline,Free,Society for Science,"The Regeneron ISEF isn't just your typical high school science fair. It's the most renowned science competition for high school students in the nation, attracting 1,800 finalists who compete for $8 million in awards and scholarships. Its reputation is highly respected by colleges and the scientific community. To participate in ISEF, 9th-12th grade students must first compete in a Society-affiliated fair and earn the opportunity to attend. Each fair has the opportunity to sponsor a certain number of projects, either team or individual, for the chance to compete at ISEF.",See website,https://www.societyforscience.org/isef/,,,,,,,,,,
1687112246-39,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,UT Austin’s McCombs Business School Summer Programs,"Austin, TX",30-Jan-23,Free,University of Texas,"Participating in summer programs can be costly, which is why this free 6-day program is a fantastic opportunity. Students can gain valuable skills in business and engage with industry representatives, McCombs faculty, and students. The program offers three options to choose from, including the McCombs Future Executive Academy (MFEA), Academy for Rising Leaders, and Discover Yourself in Accounting Majors and Careers.",See website,https://www.mccombs.utexas.edu/undergraduate/bba/academics/summer-high-school-programs/,,,,,,,,,,
1687112246-40,https://www.polygence.org/research-opportunity-guides,Top Research Opportunities for High School Students in Texas,https://www.polygence.org/research-opportunities/research-opportunities-for-high-school-students-in-texas,Texas A&M’s Camp ARCH,"College Station, TX",14-Apr-23,"$1,200 USD",Texas A&M University,The Texas A&M School of Architecture sponsors a week-long program designed for high-achieving high school students. The program combines academic courses with social activities to create a research-focused pre-college experience on the ARCH campus.,See website,https://www.arch.tamu.edu/academics/high-school-outreach/camp-arch/,,,,,,,,,,
